#{"t_start": 1754334945.4703574, "env_id": "None"}
r,l,t
456.958933,3600,7072.228905
949.3011,3600,7088.13168
1234.989331,3600,7104.278654
827.685678,3600,7121.483498
454.871072,3600,7137.867055
240.843645,834,7141.58358
183.106555,341,7143.509732
505.42321,3600,7160.504747
295.569873,754,7164.089985
246.959787,558,7166.499367
1174.538608,3600,7184.762856
974.949852,3600,7202.233943
1022.74878,3600,7218.610116
119.559271,390,7220.362988
365.94982,909,7225.069633
888.607637,2196,7236.047002
35.431392,177,7236.856297
763.008412,2046,7272.753992
93.917664,231,7273.751396
211.774947,675,7276.739501
462.400259,2206,7287.787036
475.814951,3600,7304.075776
418.091473,2105,7314.663743
156.762814,755,7318.577641
76.312496,268,7319.826733
533.743179,1035,7324.438018
977.054163,3600,7340.740606
354.993116,738,7344.150354
501.253811,3600,7360.155085
75.80841,207,7361.096929
53.981937,176,7361.876394
459.941694,1850,7370.230745
1048.580266,3600,7386.743851
48.660938,194,7387.63123
1716.67991,3427,7403.18071
350.111996,1328,7409.110476
1001.724288,3600,7425.303928
951.656356,3600,7441.643956
241.228643,774,7445.073332
261.121962,1250,7450.654024
1510.747162,3600,7466.880892
60.700753,326,7468.348522
29.837289,158,7469.083347
239.678077,777,7472.599036
146.312912,309,7474.204391
506.309992,2923,7487.188083
382.571045,891,7491.186422
15.010966,243,7492.463946
182.886985,3600,7508.331985
46.131867,169,7509.140271
121.039837,267,7510.555769
196.189981,2587,7521.950289
903.909983,1542,7529.093993
116.246645,259,7530.273211
161.330435,310,7531.635314
523.797181,1189,7536.784071
138.523692,402,7538.612097
191.106553,429,7540.588393
518.469026,1998,7549.727834
223.392939,426,7551.605989
198.162012,373,7553.222672
194.249088,2143,7562.835607
982.332442,1730,7570.753326
1262.010258,3062,7584.691964
1812.561091,3600,7600.741517
